environment,afl_round,afl_team_name,afl_team_code,player_name,k,hb,d,m,g,b,t,ho,ga,i50,cl,cg,r50,ff,fa,af,sc
production,8,Adelaide,ADE,Wayne Milera,16,13,29,6,0,0,4,0,0,1,3,0,6,2,0,110,122
production,8,Adelaide,ADE,Sam Berry,18,11,29,3,0,0,19,0,0,7,4,5,2,1,2,156,171
production,8,Adelaide,ADE,James Peatling,13,12,25,2,0,0,5,0,0,6,4,4,2,2,1,88,91
production,8,Adelaide,ADE,Izak Rankine,15,8,23,3,1,0,5,0,0,3,5,7,2,1,2,91,89
production,8,Adelaide,ADE,Josh Worrell,14,8,22,4,0,0,3,0,0,1,1,3,4,3,1,82,89
production,8,Adelaide,ADE,Jake Soligo,12,10,22,3,0,2,4,0,2,4,5,3,1,0,2,77,82
production,8,Adelaide,ADE,Brayden Cook,13,8,21,7,1,0,3,0,1,4,4,4,0,1,1,92,94
production,8,Adelaide,ADE,Ben Keays,10,8,18,6,3,0,5,0,1,3,0,3,1,0,2,96,111
production,8,Adelaide,ADE,Alex N-Bullen,10,7,17,6,0,0,6,0,0,6,2,0,2,1,0,87,98
production,8,Adelaide,ADE,Rory Laird,7,9,16,0,0,0,4,0,0,3,0,1,1,1,1,53,60
production,8,Adelaide,ADE,Josh Rachele,10,3,13,2,2,3,4,0,1,2,1,4,0,1,1,71,70
production,8,Adelaide,ADE,Luke Pedlar,4,8,12,3,1,0,4,0,0,2,0,4,0,0,1,56,45
production,8,Adelaide,ADE,Isaac Cumming,3,8,11,1,0,0,1,0,1,1,1,1,1,0,1,29,55
production,8,Adelaide,ADE,Lachlan McAndrew,6,5,11,2,0,0,4,33,0,3,3,2,1,1,1,81,92
production,8,Adelaide,ADE,Riley Thilthorpe,5,5,10,2,1,2,2,2,0,2,1,2,0,2,1,48,58
production,8,Adelaide,ADE,Zac Taylor,6,4,10,4,0,1,4,0,1,1,0,2,0,0,2,49,43
production,8,Adelaide,ADE,Toby Murray,9,1,10,9,2,0,1,3,0,3,0,2,0,1,1,73,72
production,8,Adelaide,ADE,James Borlase,7,2,9,4,0,0,1,0,0,0,0,0,3,2,0,43,55
production,8,Adelaide,ADE,Max Michalanney,4,5,9,2,0,0,0,0,0,3,0,1,1,0,0,28,36
production,8,Adelaide,ADE,Daniel Curtin,6,3,9,4,0,1,1,0,3,2,0,3,0,0,0,41,49
production,8,Adelaide,ADE,Jordon Butts,7,1,8,4,0,0,0,0,0,1,0,0,1,1,0,36,45
production,8,Adelaide,ADE,Hugh Bond,3,2,5,1,0,0,1,0,0,1,0,1,0,0,1,17,17
production,8,Adelaide,ADE,Taylor Walker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1
production,8,Fremantle,FRE,Shai Bolton,14,16,30,2,1,1,3,0,2,8,9,3,1,0,2,93,134
production,8,Fremantle,FRE,Luke Ryan,20,2,22,8,0,0,3,0,0,2,0,1,4,2,1,99,119
production,8,Fremantle,FRE,Andrew Brayshaw,12,10,22,3,1,0,8,0,0,4,6,3,1,1,1,101,81
