environment,afl_round,afl_team_name,afl_team_code,player_name,k,hb,d,m,g,b,t,ho,ga,i50,cl,cg,r50,ff,fa,af,sc
production,8,Brisbane,BRL,Darcy Wilmot,24,8,32,12,1,0,1,0,0,3,0,1,5,0,0,134,144
production,8,Brisbane,BRL,Will Ashcroft,18,10,28,9,0,0,5,0,1,5,1,3,1,0,0,121,95
production,8,Brisbane,BRL,Dayne Zorko,21,6,27,13,0,0,2,0,0,0,1,2,7,1,0,123,108
production,8,Brisbane,BRL,Lachie Neale,18,9,27,7,1,0,3,0,1,7,3,5,3,1,1,109,92
production,8,Brisbane,BRL,Hugh McCluggage,17,8,25,8,1,2,3,0,1,7,9,4,2,1,1,109,99
production,8,Brisbane,BRL,Keidean Coleman,21,3,24,11,0,0,1,0,1,3,1,1,5,0,1,103,93
production,8,Brisbane,BRL,Ryan Lester,14,9,23,10,0,0,3,0,0,0,2,2,3,2,0,104,105
production,8,Brisbane,BRL,Zac Bailey,15,6,21,7,4,0,4,0,0,6,3,2,2,2,1,117,122
production,8,Brisbane,BRL,Cameron Rayner,8,11,19,8,2,0,3,0,3,3,0,6,0,2,2,90,95
production,8,Brisbane,BRL,Jaspa Fletcher,8,11,19,8,0,0,1,0,0,0,1,1,2,0,1,71,84
production,8,Brisbane,BRL,Levi Ashcroft,10,8,18,3,0,0,3,0,0,2,2,3,1,1,1,65,55
production,8,Brisbane,BRL,Josh Dunkley,9,8,17,6,0,0,8,0,1,3,4,3,3,0,1,90,70
production,8,Brisbane,BRL,Bruce Reville,14,3,17,7,1,0,0,0,0,4,1,4,2,0,1,72,51
production,8,Brisbane,BRL,Harris Andrews,11,5,16,11,0,0,1,0,0,0,0,1,2,0,0,80,92
production,8,Brisbane,BRL,Kai Lohmann,12,4,16,8,4,2,2,0,2,2,0,5,0,0,4,90,92
production,8,Brisbane,BRL,Charlie Cameron,12,2,14,6,2,1,0,0,4,3,1,2,0,0,0,71,87
production,8,Brisbane,BRL,Conor McKenna,11,1,12,3,2,0,2,0,2,6,0,5,0,1,2,59,45
production,8,Brisbane,BRL,Darcy Fort,8,4,12,6,0,0,2,11,1,2,3,1,0,3,1,69,72
production,8,Brisbane,BRL,Lincoln McCarthy,8,3,11,3,0,0,3,0,0,0,0,3,0,0,0,51,45
production,8,Brisbane,BRL,Logan Morris,11,0,11,7,4,3,0,0,1,0,0,1,0,1,0,82,103
production,8,Brisbane,BRL,Sam Draper,4,5,9,2,0,0,0,22,1,4,1,3,1,0,1,47,68
production,8,Brisbane,BRL,Ty Gallop,8,1,9,5,0,0,1,0,0,3,0,4,1,0,2,39,57
production,8,Brisbane,BRL,Cody Curtin,3,4,7,3,0,2,0,0,0,0,0,1,0,0,0,28,29
production,8,Essendon,ESS,Zachary Merrett,13,15,28,4,1,1,6,0,1,5,4,6,1,2,1,111,98
production,8,Essendon,ESS,Sam Durham,12,15,27,4,0,0,4,0,0,7,9,6,0,3,2,91,102
production,8,Essendon,ESS,Archie Roberts,20,7,27,4,0,0,1,0,0,4,1,4,5,1,2,85,100
production,8,Essendon,ESS,Peter Wright,14,12,26,5,2,1,1,27,1,3,4,3,4,2,2,121,147
production,8,Essendon,ESS,Dyson Sharp,9,10,19,6,0,0,2,0,2,3,2,3,0,1,1,71,65
production,8,Essendon,ESS,Saad E-Hawli,11,6,17,4,0,0,2,0,0,2,0,3,5,1,0,66,63
production,8,Essendon,ESS,Sullivan Robey,8,9,17,3,1,0,3,0,1,3,6,7,0,1,1,67,69
production,8,Essendon,ESS,Jacob Farrow,6,11,17,4,0,0,0,0,0,0,0,1,3,1,0,53,53
production,8,Essendon,ESS,Xavier Duursma,6,10,16,2,0,0,3,0,1,4,2,2,1,0,0,56,54
production,8,Essendon,ESS,Andrew McGrath,10,5,15,4,0,0,0,0,0,0,0,3,8,0,1,49,53
production,8,Essendon,ESS,Jye Caldwell,5,10,15,0,0,0,2,0,0,2,6,2,0,1,1,41,58
production,8,Essendon,ESS,Nate Caddy,13,1,14,9,3,5,2,0,1,4,0,2,0,2,0,101,94
production,8,Essendon,ESS,Archer D-Wicks,7,7,14,1,0,0,1,0,1,5,1,1,0,0,1,39,33
production,8,Essendon,ESS,Max Kondogiannis,4,9,13,3,0,0,2,0,0,0,0,2,4,0,1,44,39
production,8,Essendon,ESS,Jaxon Prior,9,3,12,1,0,0,2,0,1,1,0,2,1,2,0,46,49
production,8,Essendon,ESS,Zach Reid,7,5,12,5,0,0,0,0,0,0,0,1,5,1,0,47,39
production,8,Essendon,ESS,Kyle Langford,8,3,11,6,1,2,1,0,0,3,0,1,0,0,1,57,67
production,8,Essendon,ESS,Jayden Nguyen,4,6,10,5,0,1,2,0,0,1,0,0,0,0,0,48,48
production,8,Essendon,ESS,Lachlan Blakiston,3,7,10,0,1,0,1,4,0,0,1,1,3,0,0,37,42
production,8,Essendon,ESS,Nikolas Cox,4,5,9,2,1,0,1,0,0,2,0,0,0,1,0,39,42
production,8,Essendon,ESS,Tom Edwards,5,4,9,3,1,0,1,0,1,3,0,1,1,0,0,42,37
production,8,Essendon,ESS,Jade Gresham,2,5,7,1,0,0,3,0,0,0,1,1,0,0,1,28,25
production,8,Essendon,ESS,Ben McKay,2,3,5,2,0,0,0,0,0,1,0,1,1,1,0,19,23
