environment,afl_round,afl_team_name,afl_team_code,player_name,k,hb,d,m,g,b,t,ho,ga,i50,cl,cg,r50,ff,fa,af,sc
production,8,Carlton,CAR,Oliver Florent,17,13,30,9,0,0,1,0,0,2,2,6,6,0,1,105,107
production,8,Carlton,CAR,Nic Newman,22,6,28,13,0,0,2,0,0,2,0,3,6,0,1,122,116
production,8,Carlton,CAR,Adam Cerra,8,17,25,7,0,0,4,0,0,3,4,5,1,3,2,92,95
production,8,Carlton,CAR,Sam Walsh,10,14,24,2,0,0,5,0,0,4,4,7,0,1,1,82,71
production,8,Carlton,CAR,Ben Ainsworth,13,9,22,6,2,1,2,0,1,5,0,1,0,0,0,96,109
production,8,Carlton,CAR,Nick Haynes,18,3,21,9,0,0,1,0,0,0,0,1,3,0,0,91,93
production,8,Carlton,CAR,Jagga Smith,11,10,21,6,0,1,1,0,1,2,3,1,1,1,0,77,70
production,8,Carlton,CAR,Zachary Williams,13,5,18,4,0,1,1,0,0,2,0,1,4,1,1,64,78
production,8,Carlton,CAR,Oliver Hollands,7,10,17,6,0,0,2,0,2,2,1,2,1,0,0,67,68
production,8,Carlton,CAR,Adam Saad,13,3,16,3,0,0,3,0,0,4,0,1,1,0,0,66,90
production,8,Carlton,CAR,Brodie Kemp,14,2,16,8,3,3,3,0,0,2,0,2,0,0,0,103,89
production,8,Carlton,CAR,Patrick Cripps,8,6,14,3,1,0,1,0,0,3,2,5,0,2,3,48,50
production,8,Carlton,CAR,Jacob Weitering,9,4,13,8,0,0,0,0,0,0,0,2,2,0,2,53,76
production,8,Carlton,CAR,Will Hayward,5,8,13,4,0,1,2,0,0,3,0,0,0,1,0,53,54
production,8,Carlton,CAR,Harry McKay,8,4,12,5,0,2,0,0,0,2,0,2,0,1,0,50,44
production,8,Carlton,CAR,Matt Cottrell,9,3,12,4,0,0,2,0,0,2,1,0,1,1,0,54,49
production,8,Carlton,CAR,Francis Evans,8,4,12,3,1,2,3,0,0,2,2,1,0,2,0,63,76
production,8,Carlton,CAR,Matt Carroll,9,3,12,5,1,0,0,0,0,4,0,4,0,0,2,48,48
production,8,Carlton,CAR,Mitch McGovern,7,4,11,5,1,2,1,0,0,0,0,1,1,1,0,57,77
production,8,Carlton,CAR,Lachlan Cowan,4,4,8,2,0,0,1,0,1,3,2,2,0,0,1,27,35
production,8,Carlton,CAR,Harry Dean,7,1,8,5,0,0,1,0,0,1,0,4,0,2,3,35,41
production,8,Carlton,CAR,Liam Reidy,3,3,6,0,0,0,2,8,1,1,1,1,0,1,1,29,25
production,8,Carlton,CAR,Marc Pittonet,3,1,4,1,0,0,2,14,0,1,2,3,1,0,3,27,38
production,8,St. Kilda,STK,Nasiah W-Milera,22,9,31,3,1,1,1,0,0,5,5,6,5,3,1,104,99
production,8,St. Kilda,STK,Jack Sinclair,20,9,29,8,0,0,1,0,0,1,2,4,4,0,1,103,93
production,8,St. Kilda,STK,Max Hall,13,10,23,6,0,0,2,0,0,2,4,3,1,1,0,86,79
production,8,St. Kilda,STK,Rowan Marshall,14,8,22,9,3,0,3,10,0,3,4,3,1,2,1,124,121
production,8,St. Kilda,STK,Callum Wilkie,17,5,22,12,0,0,1,0,0,0,0,2,8,0,2,95,83
production,8,St. Kilda,STK,Bradley Hill,14,6,20,10,1,0,2,0,1,3,1,3,2,0,1,95,103
production,8,St. Kilda,STK,Mattaes Phillipou,11,9,20,5,0,1,3,0,2,3,2,3,0,2,1,78,80
production,8,St. Kilda,STK,Mason Wood,11,8,19,7,1,1,1,0,2,5,0,3,2,1,1,79,93
production,8,St. Kilda,STK,Sam Flanders,9,9,18,6,0,0,3,0,0,4,1,1,1,1,1,73,69
production,8,St. Kilda,STK,Cooper Sharman,14,3,17,9,2,3,1,0,3,4,0,3,0,0,1,91,132
production,8,St. Kilda,STK,Mitchito Owens,11,6,17,7,3,2,0,0,2,2,0,2,0,4,0,90,98
production,8,St. Kilda,STK,Marcus Windhager,9,7,16,2,0,0,3,0,0,2,3,4,0,1,1,57,50
production,8,St. Kilda,STK,Hugo Garcia,7,9,16,2,0,1,3,0,3,3,4,3,2,1,1,56,81
production,8,St. Kilda,STK,Jackson Macrae,8,7,15,1,0,0,6,0,0,1,1,3,1,1,1,63,68
production,8,St. Kilda,STK,Liam Henry,10,5,15,5,3,0,3,0,0,3,0,2,1,1,0,86,88
production,8,St. Kilda,STK,Dougal Howard,13,1,14,9,0,0,1,0,0,1,1,0,4,0,0,72,93
production,8,St. Kilda,STK,Jack Carroll,6,7,13,4,0,0,4,0,0,1,0,1,2,0,0,60,57
production,8,St. Kilda,STK,Tom De Koning,6,5,11,3,2,0,1,20,0,2,4,2,1,2,2,69,88
production,8,St. Kilda,STK,Liam O'Connell,5,5,10,4,0,0,4,0,0,0,2,2,0,0,0,53,48
production,8,St. Kilda,STK,Jack Silvagni,5,3,8,5,0,0,0,0,0,0,0,2,4,0,0,36,25
production,8,St. Kilda,STK,Daniel Butler,4,2,6,0,0,0,3,0,0,0,0,3,1,0,1,25,13
production,8,St. Kilda,STK,Anthony Caminiti,3,3,6,1,0,1,1,0,0,1,0,1,1,1,0,24,32
production,8,St. Kilda,STK,Liam Stocker,2,2,4,0,0,0,0,0,0,0,0,1,0,0,1,7,8
