environment,afl_round,afl_team_name,afl_team_code,player_name,k,hb,d,m,g,b,t,ho,ga,i50,cl,cg,r50,ff,fa,af,sc
production,8,Collingwood,COL,Nick Daicos,18,16,34,4,1,0,5,0,0,8,4,9,3,0,0,124,96
production,8,Collingwood,COL,Dan Houston,19,13,32,7,0,2,3,0,1,1,1,1,9,0,0,118,138
production,8,Collingwood,COL,Jack Crisp,16,8,24,7,0,0,2,0,0,2,2,1,4,1,0,94,102
production,8,Collingwood,COL,Brayden Maynard,19,4,23,8,1,0,1,0,0,0,0,3,6,0,2,93,113
production,8,Collingwood,COL,Josh Daicos,13,10,23,5,0,0,2,0,1,0,0,0,8,0,0,82,89
production,8,Collingwood,COL,Ned Long,10,12,22,4,0,0,9,0,2,2,5,9,3,1,4,91,91
production,8,Collingwood,COL,Lachlan Schultz,11,9,20,5,1,0,4,0,1,2,0,2,0,5,1,90,113
production,8,Collingwood,COL,Patrick Lipinski,7,12,19,4,0,0,3,0,0,2,4,4,2,1,2,64,64
production,8,Collingwood,COL,Jordan De Goey,12,6,18,4,2,0,2,0,1,3,1,2,0,1,1,78,72
production,8,Collingwood,COL,Isaac Quaynor,12,6,18,8,0,0,5,0,0,2,1,2,3,1,0,93,95
production,8,Collingwood,COL,Darcy Cameron,8,6,14,4,0,0,0,13,0,1,3,3,1,5,2,60,54
production,8,Collingwood,COL,Daniel McStay,7,4,11,7,1,1,1,0,1,3,0,1,0,0,0,61,70
production,8,Collingwood,COL,Harry Perryman,9,1,10,3,0,0,2,0,0,0,0,2,4,1,0,47,32
production,8,Collingwood,COL,Roan Steele,4,6,10,4,0,0,2,0,0,0,0,1,0,0,0,44,55
production,8,Collingwood,COL,Steele Sidebottom,4,5,9,3,1,0,1,0,1,2,1,1,0,0,0,41,62
production,8,Collingwood,COL,Jamie Elliott,3,5,8,4,3,0,1,0,1,0,0,0,0,1,0,54,71
production,8,Collingwood,COL,Billy Frampton,6,2,8,6,0,0,0,0,0,1,0,2,1,1,1,38,53
production,8,Collingwood,COL,Wil Parker,3,5,8,2,0,0,1,0,0,0,0,2,2,0,0,29,26
production,8,Collingwood,COL,Angus Anderson,5,3,8,2,1,0,3,0,1,2,0,7,0,0,5,30,21
production,8,Collingwood,COL,Oscar Steene,2,5,7,1,1,0,5,10,1,1,1,6,0,2,4,45,48
production,8,Collingwood,COL,Jack Buller,3,4,7,5,1,0,0,0,0,0,0,1,0,1,1,36,38
production,8,Collingwood,COL,Darcy Moore,4,2,6,1,0,0,1,0,0,0,0,5,3,2,2,19,25
production,8,Collingwood,COL,Will Hayes,5,1,6,2,2,0,0,0,0,2,0,2,0,0,0,35,34
production,8,Hawthorn,HAW,Karl Amon,20,10,30,7,0,0,3,0,0,2,1,2,3,0,0,113,109
production,8,Hawthorn,HAW,Jai Newcombe,16,12,28,4,1,2,5,0,0,4,9,4,1,4,2,110,110
production,8,Hawthorn,HAW,Connor MacDonald,15,13,28,7,3,0,1,0,1,6,4,3,0,0,0,114,125
production,8,Hawthorn,HAW,Jarman Impey,19,8,27,9,0,0,2,0,0,3,0,1,0,0,1,105,101
production,8,Hawthorn,HAW,Jack Ginnivan,12,12,24,6,1,0,2,0,1,3,1,4,1,0,1,89,85
production,8,Hawthorn,HAW,Cameron Mackenzie,12,12,24,6,0,0,3,0,0,5,3,3,0,0,0,90,79
production,8,Hawthorn,HAW,Massimo D'Ambrosio,14,9,23,6,1,1,3,0,0,4,2,3,2,0,0,97,95
production,8,Hawthorn,HAW,James Sicily,12,10,22,9,0,0,0,0,1,4,0,1,3,1,1,81,86
production,8,Hawthorn,HAW,Conor Nash,12,10,22,1,0,0,5,0,0,5,6,3,0,5,1,81,74
production,8,Hawthorn,HAW,Josh Battle,15,7,22,8,0,1,1,0,0,2,1,2,1,1,1,86,89
production,8,Hawthorn,HAW,Josh Ward,9,12,21,5,0,0,6,0,2,6,2,3,1,1,0,91,82
production,8,Hawthorn,HAW,Dylan Moore,11,7,18,5,1,0,0,0,0,3,0,2,0,1,1,66,58
production,8,Hawthorn,HAW,Blake Hardwick,5,10,15,3,0,0,2,0,0,0,1,2,2,0,1,49,57
production,8,Hawthorn,HAW,Ned Reeves,8,7,15,4,1,1,1,23,0,2,3,4,1,5,3,80,85
production,8,Hawthorn,HAW,Finn Maginness,5,10,15,1,0,1,0,0,0,1,0,4,1,1,0,40,46
production,8,Hawthorn,HAW,Nick Watson,8,7,15,1,2,0,2,0,1,2,1,4,0,1,1,59,69
production,8,Hawthorn,HAW,Mitchell Lewis,7,7,14,7,2,2,2,0,0,2,0,2,0,0,1,75,80
production,8,Hawthorn,HAW,Jack Gunston,8,5,13,3,0,1,2,0,0,1,0,3,0,1,1,50,47
production,8,Hawthorn,HAW,Lloyd Meek,6,4,10,2,0,0,2,17,1,1,4,4,1,3,3,51,54
production,8,Hawthorn,HAW,Jack Scrimshaw,4,5,9,1,0,0,0,0,0,0,1,2,1,0,2,19,32
production,8,Hawthorn,HAW,Joshua Weddle,6,3,9,6,0,2,2,0,0,2,0,5,0,1,3,44,36
production,8,Hawthorn,HAW,Calsher Dear,5,4,9,4,1,0,1,0,0,2,0,0,0,0,0,45,50
production,8,Hawthorn,HAW,Tom Barrass,6,1,7,4,0,0,0,0,0,2,0,0,1,0,0,32,66
