environment,afl_round,afl_team_name,afl_team_code,player_name,k,hb,d,m,g,b,t,ho,ga,i50,cl,cg,r50,ff,fa,af,sc
production,8,Geelong,GEE,Max Holmes,19,10,29,4,2,0,2,0,1,6,4,2,5,1,1,107,149
production,8,Geelong,GEE,Bailey Smith,14,12,26,0,0,1,1,0,1,3,6,2,4,3,1,71,97
production,8,Geelong,GEE,Zach Guthrie,13,9,22,4,1,0,1,0,0,3,1,2,4,0,1,76,93
production,8,Geelong,GEE,Tanner Bruhn,10,12,22,6,0,0,7,0,0,5,0,5,4,1,0,101,72
production,8,Geelong,GEE,Jeremy Cameron,15,4,19,8,3,3,1,0,4,3,1,7,0,1,3,94,96
production,8,Geelong,GEE,Tom Atkins,9,10,19,2,0,0,5,0,0,3,3,5,1,1,1,71,73
production,8,Geelong,GEE,Oisin Mullin,7,11,18,4,0,0,6,0,1,1,4,3,1,3,2,76,72
production,8,Geelong,GEE,Shaun Mannagh,12,6,18,1,4,1,1,0,1,7,4,0,0,0,0,80,112
production,8,Geelong,GEE,James Worpel,10,7,17,2,1,0,5,0,0,8,6,5,1,3,3,70,77
production,8,Geelong,GEE,Jack Martin,9,7,16,7,2,0,2,0,0,0,1,0,0,0,0,82,77
production,8,Geelong,GEE,Mark O'Connor,7,8,15,4,0,0,0,0,1,3,0,4,1,0,3,40,51
production,8,Geelong,GEE,Jake Kolodjashnij,8,6,14,5,0,0,0,0,0,1,0,2,1,1,0,52,49
production,8,Geelong,GEE,Jack Bowes,6,8,14,2,1,0,1,0,0,1,1,3,1,3,1,50,50
production,8,Geelong,GEE,Thomas Stewart,10,4,14,5,0,0,0,0,0,0,0,3,3,0,1,50,53
production,8,Geelong,GEE,Bradley Close,5,9,14,2,0,1,1,0,2,4,0,0,0,2,0,46,59
production,8,Geelong,GEE,Oliver Henry,8,6,14,3,1,1,5,0,0,4,1,1,0,1,0,73,71
production,8,Geelong,GEE,Ollie Dempsey,6,8,14,4,1,1,3,0,0,1,0,1,0,0,1,62,79
production,8,Geelong,GEE,Sam De Koning,5,8,13,3,0,0,0,14,0,2,3,5,0,1,1,52,60
production,8,Geelong,GEE,Connor O'Sullivan,6,6,12,4,0,0,1,0,0,1,0,4,5,0,2,40,41
production,8,Geelong,GEE,Lawson Humphries,9,3,12,5,1,0,3,0,0,0,0,2,5,2,0,68,71
production,8,Geelong,GEE,Patrick Dangerfield,4,7,11,1,1,0,2,0,0,2,1,2,0,4,1,44,56
production,8,Geelong,GEE,Shannon Neale,7,3,10,5,3,0,4,6,1,1,1,1,0,0,0,82,97
production,8,Geelong,GEE,Mitchell Edwards,4,4,8,0,0,0,2,20,0,1,2,4,1,0,4,36,34
production,8,North Melbourne,NTH,Tristan Xerri,14,16,30,1,0,1,7,23,1,5,14,5,2,8,2,131,164
production,8,North Melbourne,NTH,Luke D-Uniacke,12,12,24,2,0,0,5,0,1,9,6,4,2,2,3,79,112
production,8,North Melbourne,NTH,Colby McKercher,15,8,23,5,2,0,2,0,1,3,0,4,2,0,2,90,85
production,8,North Melbourne,NTH,Jy Simpkin,14,7,21,2,2,0,1,0,1,6,3,6,0,1,2,73,74
production,8,North Melbourne,NTH,Finn O'Sullivan,9,12,21,1,0,0,6,0,2,4,4,3,0,0,0,78,75
production,8,North Melbourne,NTH,Harry Sheezel,10,10,20,5,1,0,4,0,0,2,3,4,0,2,3,80,81
production,8,North Melbourne,NTH,Luke Parker,12,7,19,6,0,0,0,0,0,1,1,1,3,2,1,67,66
production,8,North Melbourne,NTH,Caleb Daniel,9,10,19,1,0,0,6,0,0,1,2,2,4,0,1,71,77
production,8,North Melbourne,NTH,Luke McDonald,8,9,17,3,0,0,0,0,0,3,0,3,2,2,3,44,65
production,8,North Melbourne,NTH,Paul Curtis,9,8,17,3,1,2,5,0,1,3,1,4,1,1,0,81,79
production,8,North Melbourne,NTH,Tom Blamires,7,10,17,4,0,0,2,0,0,1,0,2,5,1,0,62,59
production,8,North Melbourne,NTH,Cameron Zurhaar,8,8,16,2,0,0,2,0,0,1,0,1,1,1,0,55,69
production,8,North Melbourne,NTH,Dylan Stephens,10,6,16,3,0,0,0,0,1,3,2,4,2,1,2,46,54
production,8,North Melbourne,NTH,Jack Darling,6,9,15,2,3,0,0,1,1,2,2,3,1,1,1,59,76
production,8,North Melbourne,NTH,Aidan Corr,5,9,14,5,0,0,1,0,0,0,0,3,2,0,2,46,61
production,8,North Melbourne,NTH,Charlie Comben,8,6,14,6,0,0,0,0,0,1,1,4,5,0,2,48,70
production,8,North Melbourne,NTH,Griffin Logue,6,7,13,2,0,0,2,0,0,0,0,1,4,0,0,46,55
production,8,North Melbourne,NTH,Charlie Spargo,2,7,9,1,0,0,1,0,1,1,0,2,1,0,0,27,35
production,8,North Melbourne,NTH,Nick Larkey,4,5,9,4,1,1,2,0,0,1,0,1,0,1,0,50,50
production,8,North Melbourne,NTH,Cooper Trembath,5,4,9,4,0,1,1,4,0,1,0,4,0,0,2,38,39
production,8,North Melbourne,NTH,Tom Powell,4,4,8,3,0,0,5,0,0,1,0,0,0,0,0,49,63
production,8,North Melbourne,NTH,Zane Duursma,4,4,8,2,3,0,2,0,0,1,0,1,0,1,0,53,71
